LOJA,Venda R$,largura_total,cluster
27,-0.9970822673325151,-1.163103665104441,0
43,0.15655884025264577,-0.2846324885052295,3
51,-0.6795899657072321,-0.8754792244707502,0
78,-1.021445993763696,-0.15298659485293245,0
94,-0.8874191118260106,-1.1655993218561433,0
108,2.1476416387175083,1.355013997363186,2
116,0.4457563785006606,0.6250343974902614,1
124,2.750052295349309,1.6388949528693233,2
140,-1.0915573026112817,-1.2591864500449799,0
167,0.11576813646943686,1.4361228417935108,1
175,0.7397563899882579,1.4096064888066735,1
183,0.8613928095965502,1.5983405306541605,1
191,-0.6086637395044656,-1.1918037177490175,0
205,-0.011610417253789904,0.23820760097640375,3
213,-0.9814469051497271,-0.6040765527231245,0
221,-0.4623878130490196,-0.8941966501085178,0
230,0.6543870270798265,-0.697663680911961,3
248,0.038415125562126104,0.674011661242419,1
256,-0.7127375388642551,0.26971526746664554,3
264,-0.29163745886859127,-0.805288878329123,0
272,0.2619864666127744,-0.07374949298638449,3
299,-0.42613659419851874,-0.07718102101997515,3
