NOME SEÇÃO,MARCA,Venda R$,fat_sec,% Seção
PAPEL HIGIENICO,PERSONAL            ,7245827.18,24551131.77,0.29513210420930425
PAPEL HIGIENICO,PERSONAL+HARPIC     ,14470.18,24551131.77,0.0005893895293935771
PAPEL HIGIENICO,PLUSH               ,725680.5499999999,24551131.77,0.029557926567228065
PAPEL HIGIENICO,SULINO              ,379705.39,24551131.77,0.015465901676434203
PRENDEDOR/ VARAL,BILLA               ,28475.97,293063.5,0.09716655264132176
PRENDEDOR/ VARAL,CASAFORT            ,18893.05,293063.5,0.06446742770764698
PRENDEDOR/ VARAL,CONDOR              ,55440.2,293063.5,0.18917470104601902
PRENDEDOR/ VARAL,ESFREBOM            ,42971.56,293063.5,0.14662883641258634
PRENDEDOR/ VARAL,GABOARDI            ,115335.3,293063.5,0.393550544506566
PRENDEDOR/ VARAL,IDB                 ,824.84,293063.5,0.0028145436057373232
PRENDEDOR/ VARAL,SUPERCORDA          ,31122.579999999998,293063.5,0.10619739408012256
PROD. P/MAQUINA LAVAR LOUCA,CIF                 ,19395.93,811014.77,0.023915631030986033
PROD. P/MAQUINA LAVAR LOUCA,FINISH              ,402053.39999999997,811014.77,0.49574115647733513
PROD. P/MAQUINA LAVAR LOUCA,JIMO                ,198348.92,811014.77,0.24456881346316295
PROD. P/MAQUINA LAVAR LOUCA,LIMPOL              ,4960.69,811014.77,0.0061166456931481036
PROD. P/MAQUINA LAVAR LOUCA,UNIK                ,130264.47,811014.77,0.16061910931659112
PROD. P/MAQUINA LAVAR LOUCA,YPE                 ,55991.36,811014.77,0.06903864401877663
PRODUTOS LIMPEZA BANHEIRO,AJAX                ,4508.46,1293857.45,0.0034845106004529327
PRODUTOS LIMPEZA BANHEIRO,CIF                 ,196889.97,1293857.45,0.1521728456253044
PRODUTOS LIMPEZA BANHEIRO,HARPIC              ,48157.29,1293857.45,0.03721993485449267
PRODUTOS LIMPEZA BANHEIRO,MR MUSCULO          ,93885.4,1293857.45,0.07256239858571746
PRODUTOS LIMPEZA BANHEIRO,PATO                ,300690.32,1293857.45,0.23239833723568235
PRODUTOS LIMPEZA BANHEIRO,VEJA                ,643981.8,1293857.45,0.4977223727389753
PRODUTOS LIMPEZA BANHEIRO,VEJA+HARPIC         ,5744.21,1293857.45,0.004439600359374984
PROTECAO SAPATO,NUGGET              ,139096.09,139096.09,1.0
PURIFICADOR AR/ROUPA,ACQUA LOUNGE        ,3086.54,1764969.13,0.0017487784616380233
PURIFICADOR AR/ROUPA,BOM AR              ,587772.21,1764969.13,0.3330212410004021
PURIFICADOR AR/ROUPA,BOM AR+VEJA         ,23193.949999999997,1764969.13,0.013141278000709281
PURIFICADOR AR/ROUPA,GLADE               ,940927.7999999999,1764969.13,0.5331128935949152
PURIFICADOR AR/ROUPA,HOME BRISE          ,48.99,1764969.13,2.7756859407507036e-05
PURIFICADOR AR/ROUPA,NATHALIA BEAUTY     ,1780.3700000000001,1764969.13,0.0010087258579984343
PURIFICADOR AR/ROUPA,ONA                 ,53900.28,1764969.13,0.030538936394881876
PURIFICADOR AR/ROUPA,SECAR               ,154258.99,1764969.13,0.08740038983004762
REPELENTE INSETO/COSMETICO,OFF                 ,352870.18,497458.52999999997,0.7093459227646575
REPELENTE INSETO/COSMETICO,REPELEX             ,124094.61,497458.52999999997,0.24945719595963106
REPELENTE INSETO/COSMETICO,SBP                 ,20493.74,497458.52999999997,0.04119688127571157
SABAO BARRA,GIRANDO SOL         ,183058.62,906452.6,0.2019505708296275
SABAO BARRA,UFE                 ,69537.03,906452.6,0.0767133659277937
SABAO BARRA,VANISH              ,82874.09,906452.6,0.09142683246757745
SABAO BARRA,YPE                 ,515314.83,906452.6,0.5684961684703647
SABAO BARRA,ZAVASKI             ,55668.03,906452.6,0.06141306230463678
SABAO EM PO,BRILHANTE           ,3214591.42,9702107.93,0.33132917539085754
SABAO EM PO,GIRANDO SOL         ,628565.84,9702107.93,0.06478652314889265
SABAO EM PO,OMO                 ,3884620.48,9702107.93,0.40038932858995724
SABAO EM PO,SURF                ,828368.92,9702107.93,0.08538030353574927
SABAO EM PO,TIXAN YPE           ,1063475.1,9702107.93,0.10961278803254873
SABAO EM PO,UFE                 ,6498.71,9702107.93,0.0006698245419333323
SABAO EM PO,YPE                 ,75987.45999999999,9702107.93,0.007832056760061212
SABAO LIQUIDO,AQUAFAST            ,491340.45,7627658.03,0.06441563689241585
SABAO LIQUIDO,ARIEL               ,443370.06,7627658.03,0.05812663051439919
SABAO LIQUIDO,BABY SOFT           ,6081.15,7627658.03,0.0007972499522241953
SABAO LIQUIDO,BRILHANTE           ,1515531.23,7627658.03,0.1986889323091481
SABAO LIQUIDO,GIRANDO SOL         ,494521.56,7627658.03,0.064832686265564
SABAO LIQUIDO,HIGI                ,13421.55,7627658.03,0.0017595898960352315
SABAO LIQUIDO,OLA                 ,295400.23,7627658.03,0.03872751358781091
SABAO LIQUIDO,OLA+AJAX            ,14773.63,7627658.03,0.0019368500713973407
SABAO LIQUIDO,OMO                 ,3707545.57,7627658.03,0.48606604483552074
SABAO LIQUIDO,OMO+COMFORT         ,5309.28,7627658.03,0.0006960563752489045
SABAO LIQUIDO,SETIMA GERACAO      ,57216.99,7627658.03,0.007501252648579999
SABAO LIQUIDO,SURF                ,180858.94,7627658.03,0.023710939752237425
